"Action","Action"
"Actions","Actions"
"Add Carrier","Ajouter un transporteur"
"Add Custom Method","Ajouter une méthode personnalisée"
"Add Existing Method","Ajouter une méthode existante"
"Add Rule","Ajouter une règle"
"All Shipping Methods","Toutes les méthodes d'expédition"
"An error occurred while saving the carrier data. Please review the log and try again.","Une erreur est survenue lors de la sauvegarde des données du transporteur. Veuillez vérifier les logs et essayer à nouveau."
"An error occurred while updating the carrier(s) status.","Une erreur est survenue lors de la mise à jour du statut du transporteur."
"Apply the shipping rule only if the following conditions are met (leave blank for all products)","Appliquer la règle d'expédition seulement si les conditions suivantes sont réunies (laisser vide pour tous les produits)"
"Are you sure?","Êtes-vous sûr ?"
"between","compris entre"
"Carrier","Transporteur"
"Carrier Information","Information transporteur"
"Carrier Name","Nom du transporteur"
"Carriers","Transporteurs"
"Carriers and Shipping Methods","Transporteurs et méthodes d'expédition"
"Cart Attribute","Attribut panier"
"Cart Item Attribute","Attribut produit du panier"
"Change status","Changer le statut"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions"
"Created At","Créé à"
"Custom Method","Méthode personnalisée"
"Custom Method Information","Information méthode personnalisée"
"Custom Methods","Méthodes personnalisées"
"Customer attribute","Attribut client"
"Description","Description"
"Discount","Remise"
"Easy Shipping Rules","Easy Shipping Rules"
"Edit Carrier","Modifier transporteur"
"Edit Carrier '%s'","Modifier transporteur '%s'"
"Edit Custom Method","Modifier méthode personnalisée"
"Edit Custom Method '%s'","Modifier méthode personnalisée '%s'"
"Edit Existing Method","Modifier méthode existante"
"Edit Shipping Rule","Modifier règle d'expédition"
"Edit Shipping Rule '%s'","Modifier règle d'expédition '%s'"
"Existing Method","Méthode existante"
"Existing Methods","Méthodes existantes"
"Fixed (all cart)","Fixe (sur tout le panier)"
"Fixed (per item qty)","Fixe (par quantité de produit)"
"General","Général"
"General Information","Informations générales"
"Hide","Cacher"
"ID","ID"
"is valid","est valide"
"is not valid","n'est pas valide"
"Leave blank to keep current Carrier Name","Laisser vide pour conserver le nom du transporteur actuel"
"Leave blank to keep current Shipping Method Name","Laisser vide pour conserver la méthode d'expédition actuelle"
"Method Name","Nom de la méthode"
"Name","Nom"
"New Carrier","Nouveau transporteur"
"New Custom Method","Nouvelle méthode personnalisée"
"New Existing Method","Nouvelle méthode existante"
"New Shipping Rule","Nouvelle règle d'expédition"
"not between","n'est pas compris entre"
"Overwrite","Surcharger"
"Percentage (based on rate)","Pourcentage (basé sur le taux)"
"Percentage (based on subtotal)","Pourcentage (basé sur le sous-total)"
"Please select carrier(s).","Veuillez sélectionner un/des transporteur(s)."
"Position","Position"
"Price / Percentage","Prix / Pourcentage"
"Price Action","Action de prix"
"Product Attribute","Attribut produit"
"Product attribute combination","Combinaison d'attributs produit"
"Programmatic Method","Méthode programmée"
"Rule Name","Nom de la règle"
"Rules","Règles"
"Set this value for replacing rules' price / percentage","Définissez cette règle pour remplacer le prix / pourcentage de la règle"
"Shipping Method Name","Nom de la méthode d'expédition"
"Shipping Methods","Méthodes d'expédition"
"Shipping Rule","Règle d'expédition"
"Shipping Rule Information","Information règle d'expédition"
"Surcharge","Surtaxe"
"The carrier has been deleted.","Le transporteur a été supprimé."
"The carrier has been saved.","Le transporteur a été sauvegardé."
"The custom method has been deleted.","La méthode personnalisée a été supprimée."
"The custom method has been saved.","La méthode personnalisée a été sauvegardée."
"The existing method has been deleted.","La méthode existante a été supprimée."
"The existing method has been saved.","La méthode existante a été sauvegardée."
"The shipping rule has been deleted.","La règle d'expédition a été supprimée."
"The shipping rule has been saved.","La règle d'expédition a été sauvegardée."
"This carrier no longer exists.","Ce transporteur n'existe plus."
"This custom method no longer exists.","Cette méthode personnalisée n'existe plus."
"This existing method no longer exists.","Cette méthode existante n'existe plus."
"This shipping rule no longer exists.","Cette règle d'expédition n'existe plus."
"This value will be applied according choose in method: price or percentage","Cette valeur sera appliquée en fonction du choix dans la méthode : prix ou pourcentage"
"Unable to find a carrier to delete.","Impossible de trouver le transporteur à supprimer."
"Unable to find a custom method to delete.","Impossible de trouver la méthode personnalisable à supprimer."
"Unable to find a existing method to delete.","Impossible de trouver la méthode existante à supprimer."
"Unable to find a shipping rule to delete.","Impossible de trouver la règle d'expédition à supprimer."
"Update prices using the following information","Mettre à jour les prix selon les informations suivantes"
"Updated At","Mis à jour à"
"Wrong carrier specified.","Le transporteur spécifié est incorrect."
"Wrong custom method specified.","La méthode personnalisée spécifiée est incorrecte."
"Wrong existing method specified.","La méthode existante spécifiée est incorrecte."
"Wrong shipping rule specified.","La méthode d'expédition spécifiée est incorrecte."
