"Action","פעולה"
"Actions","פעולות"
"Add Carrier","הוסף ספק הובלה"
"Add Custom Method","הוסף מתודה מותאמת"
"Add Existing Method","הוסף מתודה קיימת"
"Add Rule","הוסף כלל"
"All Shipping Methods","כל מתודות המשלוח"
"An error occurred while saving the carrier data. Please review the log and try again.","ארעה שגיאה בשמירת הספק הובלה , בבקשה תראה את קובץ הלוגים ותנסה לשמור שוב"
"An error occurred while updating the carrier(s) status.","ארעה שגיאה בעדכון סטטוס הספק הובלה/ות"
"Apply the shipping rule only if the following conditions are met (leave blank for all products)","תעדכן את כללי המשלוח אם יתקיימו התנאים הבאים(תשאיר ריק עבור כל המוצרים)"
"Are you sure?","האם אתה בטוח?"
"between","בין"
"Carrier","ספק הובלה"
"Carrier Information","מידע על הספק הובלה"
"Carrier Name","שם הספק הובלה"
"Carriers","ספקי הובלות"
"Carriers and Shipping Methods","ספקי הובלות ומתודות משלוח"
"Cart Attribute","תכונה לסל-קניות"
"Cart Item Attribute","תכונה לפריט בסל-קניות"
"Change status","שנה סטטוס"
"Conditions","תנאים"
"Conditions combination","קומבינציה של תנאים"
"Created At","נוצר בתאריך"
"Custom Method","מתודה מותאמת"
"Custom Method Information","מידע על מתודה מותאמת"
"Custom Methods","מתודות מותאמות"
"Customer attribute","תכונות לקוח"
"Description","תאור"
"Discount","הנחה"
"Easy Shipping Rules","כללי משלוח קלים"
"Edit Carrier","ערוך ספק הובלה"
"Edit Carrier '%s'","'%s' ערוך ספק הובלה"
"Edit Custom Method","ערוך מתודה מותאמת"
"Edit Custom Method '%s'","'%s' ערוך מתודה מותאמת"
"Edit Existing Method","ערוך מתודה קיימת"
"Edit Shipping Rule","ערוך כלל משלוח"
"Edit Shipping Rule '%s'","'%s' ערוך כלל משולח"
"Existing Method","מתודה קיימת"
"Existing Methods","מתודות קיימות"
"Fixed (all cart)","תקין (הכל בסל)"
"Fixed (per item qty)","תקין (פר פריט לכמות)"
"General","כללי"
"General Information","מידע כללי"
"Hide","הסתר"
"ID","מספר מזהה"
"is valid","בתוקף"
"is not valid","לא בתוקף"
"Leave blank to keep current Carrier Name","תשאיר ריק כדי לשמור על שם הספק הובלה הנוכחי"
"Leave blank to keep current Shipping Method Name","תשאיר ריק כדי לשמור על מתודת משלוח נוכחית"
"Method Name","שם המתודה"
"Name","שם"
"New Carrier","ספק הובלה חדש"
"New Custom Method","מתודה מותאמת חדשה"
"New Existing Method","מתודה קיימת חדשה"
"New Shipping Rule","כלל משלוח חדש"
"not between","לא בין"
"Overwrite","לשכתב מעל"
"Percentage (based on rate)","אחוזים (מבוסס על שער מטבע)"
"Percentage (based on subtotal)","אחוזים (מבוסס על סכום ביניים)"
"Please select carrier(s).","בבקשה תבחר ספק הובלה\ות"
"Position","מיקום"
"Price / Percentage","מחיר / אחוז"
"Price Action","פעולה מחיר"
"Product Attribute","תכונת מוצר"
"Product attribute combination","קומבינציה של תכונת מוצר"
"Programmatic Method","מתודה מתוכננת"
"Rule Name","שם הכלל"
"Rules","כללים"
"Set this value for replacing rules' price / percentage","עדכן את הערך כדי לשנות את כללי המחיר/אחוזים"
"Shipping Method Name","שם מתודת המשלוח"
"Shipping Methods","מתודות משלוח"
"Shipping Rule","כללי משלוח"
"Shipping Rule Information","מידע עלל כלל  המשלוח"
"Surcharge","חיוב נוסף"
"The carrier has been deleted.","ספק ההובלה נמחק"
"The carrier has been saved.","ספק ההובלה נשמר"
"The custom method has been deleted.","המתודה המותאמת נמחקה"
"The custom method has been saved.","המתודה המותאמת נשמרה"
"The existing method has been deleted.","המתודה הקיממת נמחקה"
"The existing method has been saved.","המתודה הקיימת נשמרה"
"The shipping rule has been deleted.","כלל המשלוח נמחק"
"The shipping rule has been saved.","כלל המשלוח נשמר"
"This carrier no longer exists.","ספק המשלוח הזה אינו קיים הרבה זמן"
"This custom method no longer exists.","המתודה המותאמת אינה קיימת הרבה זמן"
"This existing method no longer exists.","המתודה הקיימת הזו אינה קיימת הרבה זמן"
"This shipping rule no longer exists.","כלל המשלוח הזה אינו קיים הרבה זמן"
"This value will be applied according choose in method: price or percentage","הערך הזה ייקבע לפי המתודות האלו : מחיר או אחוז"
"Unable to find a carrier to delete.","לא נמצא ספק המשלוח על-מנת למחוק אותו"
"Unable to find a custom method to delete.","לא נמצאה המתודה המותאמת על-מנת למחוק אותה"
"Unable to find a existing method to delete.","לא נמצאה המתודה הקיימת על-מנת למחוק אותה"
"Unable to find a shipping rule to delete.","לא נמצא כלל המשלוח על-מנת למחוק אותו"
"Update prices using the following information","עדכן מחירים באמצאות המידה הבא"
"Updated At","עודכן בתאריך"
"Wrong carrier specified.","צוין ספק הובלה שגוי"
"Wrong custom method specified.","צוין מתודה מותאמת שגויה"
"Wrong existing method specified.","צוין מתודה קיימת שגויה"
"Wrong shipping rule specified.","צוין כלל משלוח שגוי"
